cidade,MANDAGUAÇU,SÃO JOSÉ DA BOA VISTA,BELA VISTA DA CAROBA,MARILENA,CRUZMALTINA,CORBÉLIA,TELÊMACO BORBA,CURITIBA,MIRADOR,GOIOERÊ
MANDAGUAÇU,0.0,349.903,409.459,133.551,129.891,247.927,241.476,445.158,83.908,186.884
SÃO JOSÉ DA BOA VISTA,349.928,0.0,639.696,571.839,313.118,599.417,180.622,301.31,433.337,512.129
BELA VISTA DA CAROBA,416.041,653.053,0.0,452.965,464.769,161.203,572.527,595.391,411.707,251.218
MARILENA,133.186,571.136,453.995,0.0,263.123,294.341,374.708,578.39,83.42,207.553
CRUZMALTINA,131.416,312.956,459.029,264.468,0.0,297.497,138.26,341.942,214.825,222.971
CORBÉLIA,255.809,600.509,162.061,294.728,304.536,0.0,464.014,516.228,251.475,90.985
TELÊMACO BORBA,241.718,185.017,559.458,374.77,138.686,457.053,0.0,243.599,325.128,403.92
CURITIBA,444.147,299.393,554.202,577.199,341.115,513.923,241.947,0.0,527.556,521.394
MIRADOR,83.613,433.563,407.694,83.638,213.55,251.142,325.136,528.818,0.0,164.354
GOIOERÊ,194.14,511.722,252.272,207.521,222.741,90.74,403.294,527.63,164.268,0.0
